issue,firstpage,film,dimension_1,dimension_2,area,date,names
VAR-09,23,INFINITELY POLAR BEAR,5.125,6.625,33.953125,1/5/16,  
VAR-09,23,GRANDMA,5.125,6.625,33.953125,1/5/16,  
VAR-09,24,THE REVENANT,20.5,13.25,271.625,1/5/16,dicaprio  
VAR-09,52,STAR WARS THE FORCE AWAKENS,20.5,13.25,271.625,1/5/16,ridley  
VAR-09,67,THE BRAND NEW TESTAMENT,7,10,70,1/5/16,  
VAR-09,BC,CREED,10.25,13.25,135.8125,1/5/16,stallone  
VAR-04,COV,BRIDGE OF SPIES,41,13.25,543.25,11/24/15,hanks rylance 
VAR-04,2,TRAINWRECK,10.25,13.25,135.8125,11/24/15,hader schumer 
VAR-04,4,THE DANISH GIRL,20.5,13.25,271.625,11/24/15,redmayne vikander 
VAR-04,6,45 YEARS,6.5,10,65,11/24/15,rampling  
VAR-04,7,LEARNING TO DRIVE,10.25,13.25,135.8125,11/24/15,  
VAR-04,9,THE REVENANT,10.25,13.25,135.8125,11/24/15,  
VAR-04,10,SICARIO,10.25,13.25,135.8125,11/24/15,brolin blunt toro  
VAR-04,13,STEVE JOBS,10.25,13.25,135.8125,11/24/15,  
VAR-04,15,INSIDE OUT,10.25,13.25,135.8125,11/24/15,  
VAR-04,16,99 HOMES,10.25,13.25,135.8125,11/24/15,shannon  
VAR-04,17,I SMILE BACK,10.25,13.25,135.8125,11/24/15,silverman  
VAR-04,21,BEASTS OF NO NATION,10.25,13.25,135.8125,11/24/15,elba  
VAR-04,23,YOUTH,10.25,13.25,135.8125,11/24/15,caine keitel weicz dano fonda  
VAR-04,25,THE MARTIAN,10.25,13.25,135.8125,11/24/15,damon  
VAR-04,27,BROOKLYN,10.25,13.25,135.8125,11/24/15,  
VAR-04,28,CONCUSSION,20.5,13.25,271.625,11/24/15,smith  
VAR-04,33,SUFFRAGETTE,10.25,13.25,135.8125,11/24/15,mulligan  
VAR-04,36,SPOTLIGHT,20.5,13.25,271.625,11/24/15,  
VAR-04,49,THE GOOD DINOSAUR,10.25,13.25,135.8125,11/24/15,  
VAR-04,52,BABA JOON,10.25,13.25,135.8125,11/24/15,  
VAR-04,73,NO ESSE CATTIVO,10.25,13.25,135.8125,11/24/15,  
VAR-04,79,LOVE THE COOPERS,10.25,13.25,135.8125,11/24/15,keaton  
VAR-04,81,JOY,10.25,13.25,135.8125,11/24/15,lawrence  
VAR-04,83,MR HOLMES,10.25,13.25,135.8125,11/24/15,mckellen  
VAR-04,86,THE FENCE,4.25,13,55.25,11/24/15,  
VAR-04,87,THE PEANUTS MOVIE,10.25,13.25,135.8125,11/24/15,  
VAR-04,88,11 MINUTES,4.25,13,55.25,11/24/15,  
VAR-04,89,SPY,10.25,13.25,135.8125,11/24/15,  
VAR-04,97,ROOM,10.25,13.25,135.8125,11/24/15,larson tremblay 
VAR-04,98,AFERIM,7,10,70,11/24/15,  
VAR-04,99,THE SECOND MOTHER,10.25,13.25,135.8125,11/24/15,  
VAR-04,100,THE BRAND NEW TESTAMENT,7,10,70,11/24/15,  
VAR-04,101,THE LETTERS,10.25,13.25,135.8125,11/24/15,stevenson  
VAR-04,139,LOVE & MERCY,10.25,13.25,135.8125,11/24/15,dano banks 
VAR-08,COV,ANOMALISA,10.25,13.25,135.8125,12/29/15,  
VAR-08,2,TRUMBO,10.25,13.25,135.8125,12/29/15,  
VAR-08,6,GRANDMA,4.25,13,55.25,12/29/15,tomlin  
VAR-08,7,STRAIGHT OUTTA COMPTON,10.25,13.25,135.8125,12/29/15,  
VAR-08,9,THE REVENANT,10.25,13.25,135.8125,12/29/15,hardy  
VAR-08,13,STAR WARS THE FORCE AWAKENS,10.25,13.25,135.8125,12/29/15,  
VAR-08,14,THE LADY IN THE VAN,4.25,13,55.25,12/29/15,maggie smith  
VAR-08,15,MUSTANG,10.25,13.25,135.8125,12/29/15,  
VAR-08,20,LABYRINTH OF LIES,4.25,13,55.25,12/29/15,  
VAR-08,28,CONTRAPELO (SHORT),4,10,40,12/29/15,  
VAR-08,40,LA JAULA DE ORO,10.25,13.25,135.8125,12/29/15,  
VAR-08,51,THE FREE MAN (SHORT),10.25,13.25,135.8125,12/29/15,  
VAR-08,BC,THE BOY & THE WORLD,10.25,13.25,135.8125,12/29/15,  
